trial,diagnostic,condition,expected_warning,detected_warning,warning_count,warnings
16,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.71e+04) | network.0.weight update/weight ratio is high (5.22e+00) | network.0.bias gradient is very large (norm=3.7e+03) | network.0.bias update/weight ratio is high (4.72e+00) | network.2.weight gradient is very large (norm=2.19e+04) | network.2.weight update/weight ratio is high (2.29e+01) | network.2.bias gradient is very large (norm=3.9e+03) | network.2.bias update/weight ratio is high (2.51e+01)
17,batch_inspector,clean_batch,False,False,0,
17,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
17,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
17,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
17,gradient_health,clean_gradient,False,False,0,
17,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.86e+04) | network.0.weight update/weight ratio is high (5.65e+00) | network.0.bias gradient is very large (norm=4.25e+03) | network.0.bias update/weight ratio is high (6.02e+00) | network.2.weight gradient is very large (norm=2.66e+04) | network.2.weight update/weight ratio is high (2.78e+01) | network.2.bias gradient is very large (norm=1.11e+04) | network.2.bias update/weight ratio is high (4.12e+01)
18,batch_inspector,clean_batch,False,False,0,
18,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
18,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
18,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
18,gradient_health,clean_gradient,False,False,0,
18,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.69e+04) | network.0.weight update/weight ratio is high (5.18e+00) | network.0.bias gradient is very large (norm=1.99e+03) | network.0.bias update/weight ratio is high (2.68e+00) | network.2.weight gradient is very large (norm=1.79e+04) | network.2.weight update/weight ratio is high (1.83e+01) | network.2.bias gradient is very large (norm=3.22e+03) | network.2.bias update/weight ratio is high (2.75e+01)
19,batch_inspector,clean_batch,False,False,0,
19,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
19,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
19,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
19,gradient_health,clean_gradient,False,False,0,
19,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.75e+04) | network.0.weight update/weight ratio is high (5.42e+00) | network.0.bias gradient is very large (norm=3.67e+03) | network.0.bias update/weight ratio is high (5.14e+00) | network.2.weight gradient is very large (norm=2.12e+04) | network.2.weight update/weight ratio is high (2.28e+01) | network.2.bias gradient is very large (norm=3.37e+03) | network.2.bias update/weight ratio is high (1.54e+01)
20,batch_inspector,clean_batch,False,False,0,
20,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
20,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
20,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
20,gradient_health,clean_gradient,False,False,0,
20,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.32e+04) | network.0.weight update/weight ratio is high (6.93e+00) | network.0.bias gradient is very large (norm=7.02e+03) | network.0.bias update/weight ratio is high (9.86e+00) | network.2.weight gradient is very large (norm=3.11e+04) | network.2.weight update/weight ratio is high (2.98e+01) | network.2.bias gradient is very large (norm=1.22e+04) | network.2.bias update/weight ratio is high (6.89e+01)
21,batch_inspector,clean_batch,False,False,0,
21,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
21,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
21,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
21,gradient_health,clean_gradient,False,False,0,
21,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.67e+04) | network.0.weight update/weight ratio is high (4.92e+00) | network.0.bias gradient is very large (norm=4.43e+03) | network.0.bias update/weight ratio is high (6.65e+00) | network.2.weight gradient is very large (norm=2.45e+04) | network.2.weight update/weight ratio is high (2.72e+01) | network.2.bias gradient is very large (norm=1.15e+04) | network.2.bias update/weight ratio is high (1.06e+02)
22,batch_inspector,clean_batch,False,False,0,
22,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
22,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
22,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
22,gradient_health,clean_gradient,False,False,0,
22,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.86e+04) | network.0.weight update/weight ratio is high (5.67e+00) | network.0.bias gradient is very large (norm=3.94e+03) | network.0.bias update/weight ratio is high (5.79e+00) | network.2.weight gradient is very large (norm=1.83e+04) | network.2.weight update/weight ratio is high (1.78e+01) | network.2.bias gradient is very large (norm=5.94e+03) | network.2.bias update/weight ratio is high (4.21e+01)
23,batch_inspector,clean_batch,False,False,0,
23,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
23,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
23,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
23,gradient_health,clean_gradient,False,False,0,
23,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=2.04e+04) | network.0.weight update/weight ratio is high (6.12e+00) | network.0.bias gradient is very large (norm=4.24e+03) | network.0.bias update/weight ratio is high (6.01e+00) | network.2.weight gradient is very large (norm=2.06e+04) | network.2.weight update/weight ratio is high (1.99e+01) | network.2.bias gradient is very large (norm=6.28e+03) | network.2.bias update/weight ratio is high (3.40e+01)
24,batch_inspector,clean_batch,False,False,0,
24,batch_inspector,nan_feature,True,True,1,"inputs has non-finite values (nan=1, inf=0)"
24,batch_inspector,invalid_label,True,True,1,"labels outside [0, 2]: [3]"
24,batch_inspector,class_imbalance,True,True,1,dominant class covers 98.4% of the batch
24,gradient_health,clean_gradient,False,False,0,
24,gradient_health,amplified_gradient,True,True,8,network.0.weight gradient is very large (norm=1.89e+04) | network.0.weight update/weight ratio is high (5.72e+00) | network.0.bias gradient is very large (norm=4.21e+03) | network.0.bias update/weight ratio is high (5.88e+00) | network.2.weight gradient is very large (norm=2.4e+04) | network.2.weight update/weight ratio is high (2.46e+01) | network.2.bias gradient is very large (norm=9.76e+03) | network.2.bias update/weight ratio is high (8.32e+01)
